"cust","prod","day","month","year","state","quant","date","credit"
"Dan","Fish",15,10,2019,"CT",97,"2019-10-15",False
"Emily","Dates",23,5,2019,"CT",696,"2019-05-23",False
"Dan","Dates",24,11,2020,"NJ",407,"2020-11-24",True
"Chae","Cherry",21,4,2019,"NY",315,"2019-04-21",True
"Helen","Butter",8,1,2019,"PA",527,"2019-01-08",True
"Wally","Cherry",1,3,2017,"PA",116,"2017-03-01",True
"Helen","Jelly",6,10,2019,"NY",23,"2019-10-06",True
"Mia","Apple",12,5,2016,"CT",98,"2016-05-12",True
"Helen","Fish",24,12,2018,"NJ",816,"2018-12-24",True
"Wally","Grapes",17,5,2019,"PA",30,"2019-05-17",True
"Helen","Eggs",11,3,2020,"CT",748,"2020-03-11",False
"Dan","Eggs",30,8,2019,"CT",505,"2019-08-30",True
"Claire","Ham",9,5,2019,"NY",951,"2019-05-09",False
"Claire","Ham",10,10,2018,"NY",674,"2018-10-10",True
"Mia","Ice",17,8,2016,"PA",479,"2016-08-17",False
"Helen","Jelly",22,12,2016,"PA",628,"2016-12-22",True
"Boo","Butter",19,7,2017,"NJ",695,"2017-07-19",False
"Wally","Fish",13,12,2016,"NY",280,"2016-12-13",False
"Mia","Grapes",16,7,2016,"NY",223,"2016-07-16",True
"Chae","Ice",25,4,2017,"NY",203,"2017-04-25",False
"Mia","Eggs",20,12,2017,"PA",301,"2017-12-20",False
"Helen","Grapes",15,10,2019,"CT",346,"2019-10-15",False
"Dan","Butter",21,2,2018,"NJ",26,"2018-02-21",True
"Mia","Fish",9,12,2019,"NY",537,"2019-12-09",False
"Wally","Ice",3,11,2016,"PA",267,"2016-11-03",False
"Wally","Grapes",17,10,2018,"CT",788,"2018-10-17",True
"Claire","Butter",10,3,2017,"NJ",658,"2017-03-10",True
"Helen","Ham",29,11,2019,"CT",155,"2019-11-29",True
"Mia","Eggs",5,2,2019,"NJ",318,"2019-02-05",True
"Claire","Butter",29,8,2017,"PA",362,"2017-08-29",True
"Wally","Fish",1,4,2017,"PA",366,"2017-04-01",True
"Chae","Jelly",29,12,2018,"CT",761,"2018-12-29",False
"Dan","Apple",6,4,2020,"NY",656,"2020-04-06",False
"Wally","Apple",1,12,2016,"CT",896,"2016-12-01",False
"Claire","Eggs",4,11,2020,"PA",711,"2020-11-04",True
"Chae","Ice",21,9,2019,"CT",690,"2019-09-21",False
"Boo","Eggs",2,6,2019,"NJ",349,"2019-06-02",True
"Boo","Butter",27,5,2017,"NY",921,"2017-05-27",False
"Helen","Jelly",23,3,2019,"CT",265,"2019-03-23",True
"Helen","Dates",19,11,2019,"CT",762,"2019-11-19",False
"Mia","Apple",3,12,2018,"NY",274,"2018-12-03",True
"Emily","Dates",8,10,2019,"PA",223,"2019-10-08",True
"Emily","Butter",5,2,2020,"NY",628,"2020-02-05",False
"Chae","Grapes",24,4,2018,"CT",764,"2018-04-24",False
"Sam","Cherry",26,4,2016,"NJ",475,"2016-04-26",True
"Mia","Butter",7,10,2020,"NY",441,"2020-10-07",False
"Mia","Grapes",6,2,2020,"CT",643,"2020-02-06",False
"Emily","Butter",9,5,2018,"NY",242,"2018-05-09",True
"Chae","Dates",8,10,2016,"CT",35,"2016-10-08",False
"Emily","Cherry",5,1,2020,"NY",598,"2020-01-05",True
"Sam","Dates",9,6,2017,"NJ",919,"2017-06-09",False
"Helen","Ice",28,10,2020,"PA",585,"2020-10-28",True
"Boo","Grapes",3,11,2019,"NJ",521,"2019-11-03",False
"Claire","Cherry",5,1,2019,"PA",503,"2019-01-05",False
"Mia","Fish",6,8,2017,"NJ",125,"2017-08-06",True
"Mia","Dates",9,2,2019,"NJ",55,"2019-02-09",True
"Helen","Ham",3,4,2018,"NY",503,"2018-04-03",False
"Chae","Eggs",12,2,2016,"PA",907,"2016-02-12",True
"Mia","Apple",3,4,2019,"PA",389,"2019-04-03",False
"Wally","Grapes",5,2,2020,"CT",63,"2020-02-05",True
"Dan","Butter",4,10,2016,"CT",800,"2016-10-04",False
"Emily","Ham",3,5,2016,"CT",73,"2016-05-03",False
"Wally","Ice",2,9,2019,"NY",97,"2019-09-02",False
"Emily","Eggs",4,12,2019,"NJ",660,"2019-12-04",True
"Boo","Jelly",15,6,2016,"PA",350,"2016-06-15",True
"Claire","Grapes",22,7,2020,"NY",325,"2020-07-22",True
"Helen","Fish",20,4,2017,"PA",960,"2017-04-20",True
"Mia","Apple",13,7,2017,"NJ",87,"2017-07-13",True
"Mia","Apple",26,2,2019,"NJ",541,"2019-02-26",True
"Dan","Dates",17,11,2017,"CT",745,"2017-11-17",True
"Boo","Butter",4,9,2017,"NY",582,"2017-09-04",False
"Sam","Ice",31,3,2017,"PA",185,"2017-03-31",True
"Sam","Fish",21,7,2019,"NJ",785,"2019-07-21",False
"Boo","Jelly",8,7,2017,"PA",448,"2017-07-08",False
"Boo","Eggs",24,1,2017,"CT",224,"2017-01-24",True
"Wally","Ham",30,8,2017,"NJ",289,"2017-08-30",False
"Dan","Grapes",13,1,2019,"NJ",89,"2019-01-13",False
"Boo","Fish",17,5,2016,"NY",381,"2016-05-17",True
"Claire","Apple",6,8,2020,"NJ",418,"2020-08-06",True
"Wally","Fish",27,10,2017,"NJ",868,"2017-10-27",True
"Dan","Butter",28,9,2018,"NY",79,"2018-09-28",False
"Helen","Jelly",4,8,2017,"PA",282,"2017-08-04",False
"Claire","Apple",26,12,2019,"CT",971,"2019-12-26",False
"Mia","Dates",24,8,2017,"PA",721,"2017-08-24",True
"Claire","Dates",5,4,2020,"PA",746,"2020-04-05",False
"Wally","Dates",4,10,2018,"PA",643,"2018-10-04",False
"Helen","Eggs",6,4,2016,"NY",263,"2016-04-06",False
"Helen","Ham",30,7,2017,"NY",774,"2017-07-30",True
"Chae","Butter",19,8,2019,"CT",11,"2019-08-19",True
"Emily","Jelly",13,5,2018,"NY",606,"2018-05-13",True
"Sam","Dates",4,8,2019,"CT",826,"2019-08-04",True
"Claire","Dates",24,6,2019,"NJ",575,"2019-06-24",False
"Wally","Eggs",13,11,2020,"PA",244,"2020-11-13",True
"Dan","Eggs",29,6,2016,"NY",186,"2016-06-29",False
"Emily","Ham",30,11,2020,"CT",723,"2020-11-30",False
"Dan","Jelly",10,10,2019,"NJ",639,"2019-10-10",False
"Sam","Ham",17,8,2017,"CT",427,"2017-08-17",True
"Boo","Grapes",22,2,2018,"NY",394,"2018-02-22",False
"Emily","Fish",2,4,2017,"CT",120,"2017-04-02",False
"Wally","Eggs",10,1,2016,"NJ",393,"2016-01-10",True
"Boo","Butter",16,9,2017,"CT",226,"2017-09-16",True
"Wally","Ice",4,3,2020,"PA",852,"2020-03-04",False
"Claire","Ice",3,6,2018,"NY",94,"2018-06-03",False
"Sam","Grapes",12,2,2017,"NJ",802,"2017-02-12",True
"Helen","Apple",4,1,2019,"NJ",893,"2019-01-04",False
"Boo","Butter",11,6,2018,"CT",713,"2018-06-11",True
"Boo","Ham",19,7,2018,"PA",272,"2018-07-19",True
"Emily","Cherry",14,10,2019,"PA",43,"2019-10-14",False
"Dan","Jelly",1,8,2018,"NJ",591,"2018-08-01",False
"Wally","Grapes",14,1,2018,"NY",454,"2018-01-14",True
"Sam","Ham",21,4,2019,"PA",839,"2019-04-21",False
"Dan","Eggs",19,9,2017,"NY",183,"2017-09-19",False
"Wally","Eggs",20,10,2019,"PA",440,"2019-10-20",True
"Dan","Jelly",15,4,2016,"NY",145,"2016-04-15",True
"Boo","Fish",25,1,2017,"PA",345,"2017-01-25",True
"Mia","Jelly",22,2,2017,"NJ",401,"2017-02-22",False
"Wally","Dates",30,12,2020,"CT",209,"2020-12-30",True
"Wally","Ham",3,1,2020,"PA",415,"2020-01-03",False
"Mia","Jelly",26,5,2018,"PA",985,"2018-05-26",True
"Wally","Fish",26,8,2017,"PA",815,"2017-08-26",False
"Dan","Cherry",25,10,2020,"NJ",532,"2020-10-25",False
"Emily","Cherry",5,4,2018,"NJ",542,"2018-04-05",True
"Chae","Fish",31,3,2016,"NJ",423,"2016-03-31",True
"Chae","Butter",1,10,2018,"PA",630,"2018-10-01",True
"Helen","Dates",5,9,2018,"NY",288,"2018-09-05",True
"Emily","Grapes",2,3,2016,"CT",581,"2016-03-02",False
"Chae","Ice",26,1,2020,"PA",655,"2020-01-26",True
"Sam","Cherry",10,3,2018,"NJ",333,"2018-03-10",False
"Wally","Fish",25,7,2017,"PA",281,"2017-07-25",True
"Sam","Dates",24,2,2017,"PA",976,"2017-02-24",False
"Chae","Apple",21,3,2017,"NY",92,"2017-03-21",False
"Claire","Dates",30,4,2019,"NY",849,"2019-04-30",False
"Dan","Ice",27,6,2017,"NJ",79,"2017-06-27",False
"Mia","Ham",1,8,2018,"NJ",386,"2018-08-01",True
"Dan","Apple",10,12,2016,"NY",134,"2016-12-10",True
"Emily","Jelly",21,1,2018,"NY",76,"2018-01-21",True
"Wally","Cherry",26,1,2018,"NJ",492,"2018-01-26",False
"Chae","Eggs",7,1,2016,"PA",967,"2016-01-07",True
"Claire","Butter",24,11,2018,"NY",157,"2018-11-24",False
"Mia","Ham",28,5,2020,"NY",376,"2020-05-28",True
"Dan","Ice",5,9,2019,"NY",941,"2019-09-05",False
"Dan","Eggs",10,5,2020,"NJ",293,"2020-05-10",False
"Emily","Ham",8,6,2020,"NY",969,"2020-06-08",True
"Claire","Butter",6,11,2020,"CT",882,"2020-11-06",True
"Claire","Jelly",31,7,2016,"NY",358,"2016-07-31",True
"Chae","Jelly",6,5,2016,"CT",708,"2016-05-06",False
"Mia","Dates",15,10,2019,"PA",744,"2019-10-15",True
"Boo","Ice",25,11,2017,"NJ",621,"2017-11-25",True
"Emily","Eggs",25,3,2018,"PA",981,"2018-03-25",False
"Emily","Dates",30,4,2018,"CT",161,"2018-04-30",False
"Emily","Apple",20,4,2018,"NJ",621,"2018-04-20",False
"Dan","Butter",3,2,2020,"CT",280,"2020-02-03",True
"Chae","Apple",5,6,2018,"PA",422,"2018-06-05",True
"Dan","Butter",8,4,2020,"CT",74,"2020-04-08",True
"Helen","Apple",4,7,2018,"NJ",748,"2018-07-04",True
"Sam","Ice",4,1,2016,"NJ",519,"2016-01-04",False
"Dan","Dates",25,7,2016,"PA",491,"2016-07-25",True
"Wally","Cherry",21,1,2020,"NJ",123,"2020-01-21",True
"Dan","Dates",16,12,2017,"NJ",968,"2017-12-16",True
"Mia","Butter",14,8,2016,"NY",795,"2016-08-14",False
"Boo","Ice",21,11,2019,"PA",579,"2019-11-21",False
"Boo","Ice",22,7,2018,"NJ",21,"2018-07-22",False
"Sam","Eggs",7,3,2019,"NJ",929,"2019-03-07",False
"Mia","Grapes",11,6,2019,"NY",179,"2019-06-11",False
"Sam","Ham",15,6,2016,"NY",442,"2016-06-15",False
"Claire","Fish",18,9,2016,"PA",953,"2016-09-18",False
"Mia","Eggs",11,9,2019,"NY",172,"2019-09-11",True
"Dan","Dates",13,6,2019,"PA",637,"2019-06-13",False
"Claire","Dates",19,6,2018,"NJ",30,"2018-06-19",True
"Emily","Jelly",19,12,2020,"NJ",54,"2020-12-19",True
"Emily","Ham",26,7,2017,"CT",179,"2017-07-26",False
"Wally","Ham",26,8,2018,"CT",565,"2018-08-26",False
"Mia","Jelly",15,12,2019,"NY",818,"2019-12-15",False
"Claire","Jelly",21,12,2018,"CT",513,"2018-12-21",False
"Mia","Cherry",5,12,2018,"CT",532,"2018-12-05",True
"Chae","Ham",20,2,2020,"PA",760,"2020-02-20",False
"Claire","Dates",16,5,2017,"CT",284,"2017-05-16",True
"Helen","Eggs",20,4,2016,"NY",417,"2016-04-20",True
"Dan","Ice",10,7,2019,"NY",26,"2019-07-10",True
"Helen","Eggs",18,9,2017,"NJ",913,"2017-09-18",True
"Sam","Apple",13,4,2019,"CT",130,"2019-04-13",True
"Chae","Fish",18,11,2019,"NY",409,"2019-11-18",True
"Wally","Jelly",15,4,2019,"NJ",214,"2019-04-15",True
"Dan","Ice",15,8,2017,"NY",886,"2017-08-15",True
"Boo","Jelly",11,9,2017,"PA",89,"2017-09-11",False
"Claire","Grapes",18,11,2017,"CT",965,"2017-11-18",False
"Helen","Butter",15,1,2020,"NJ",132,"2020-01-15",True
"Claire","Ice",24,12,2017,"CT",488,"2017-12-24",True
"Dan","Jelly",11,12,2017,"CT",451,"2017-12-11",False
"Dan","Ice",3,10,2017,"PA",298,"2017-10-03",True
"Sam","Grapes",11,8,2020,"CT",856,"2020-08-11",False
"Wally","Cherry",26,5,2018,"NJ",733,"2018-05-26",True
"Mia","Eggs",7,9,2017,"PA",266,"2017-09-07",False
"Chae","Cherry",26,6,2020,"CT",298,"2020-06-26",False
"Boo","Fish",27,10,2019,"NJ",83,"2019-10-27",True
"Wally","Jelly",15,10,2017,"CT",394,"2017-10-15",False
"Wally","Dates",10,12,2018,"PA",263,"2018-12-10",True
"Wally","Ham",19,6,2019,"NY",52,"2019-06-19",True
"Wally","Cherry",25,8,2020,"NJ",647,"2020-08-25",True
"Wally","Apple",23,3,2017,"CT",503,"2017-03-23",True
"Chae","Dates",14,6,2018,"CT",154,"2018-06-14",False
"Emily","Fish",10,5,2020,"NY",248,"2020-05-10",True
"Chae","Jelly",26,5,2018,"NJ",260,"2018-05-26",False
"Boo","Butter",22,3,2020,"NJ",986,"2020-03-22",True
"Dan","Dates",8,9,2016,"NJ",481,"2016-09-08",False
"Boo","Butter",18,10,2016,"NJ",395,"2016-10-18",False
"Wally","Grapes",4,8,2020,"NY",493,"2020-08-04",False
"Chae","Grapes",27,12,2020,"CT",233,"2020-12-27",False
"Dan","Ham",14,9,2018,"PA",662,"2018-09-14",False
"Boo","Apple",22,12,2020,"CT",562,"2020-12-22",True
"Wally","Ice",30,11,2018,"CT",135,"2018-11-30",False
"Wally","Ham",22,5,2017,"PA",434,"2017-05-22",True
"Mia","Grapes",13,11,2018,"CT",518,"2018-11-13",True
"Sam","Jelly",20,9,2020,"PA",345,"2020-09-20",True
"Wally","Eggs",7,3,2018,"NY",428,"2018-03-07",True
"Chae","Jelly",26,4,2020,"NJ",574,"2020-04-26",True
"Sam","Fish",19,1,2016,"CT",248,"2016-01-19",True
"Helen","Apple",12,7,2017,"NY",624,"2017-07-12",False
"Boo","Grapes",20,4,2018,"NY",155,"2018-04-20",False
"Claire","Ice",6,4,2020,"PA",801,"2020-04-06",True
"Emily","Ham",14,5,2020,"NJ",390,"2020-05-14",False
"Sam","Butter",8,10,2016,"PA",376,"2016-10-08",True
"Helen","Ham",1,5,2017,"NY",716,"2017-05-01",False
"Emily","Butter",18,4,2020,"NJ",130,"2020-04-18",True
"Emily","Jelly",24,9,2018,"NY",225,"2018-09-24",True
"Chae","Apple",23,4,2017,"NY",893,"2017-04-23",True
"Sam","Fish",12,8,2017,"CT",820,"2017-08-12",False
"Claire","Grapes",11,2,2016,"NY",472,"2016-02-11",False
"Helen","Dates",1,1,2016,"CT",351,"2016-01-01",True
"Sam","Cherry",25,5,2019,"CT",828,"2019-05-25",False
"Boo","Eggs",23,10,2019,"NJ",753,"2019-10-23",True
"Sam","Jelly",20,1,2020,"PA",335,"2020-01-20",False
"Sam","Cherry",2,9,2019,"NJ",610,"2019-09-02",False
"Dan","Dates",29,4,2019,"NJ",425,"2019-04-29",False
"Dan","Jelly",18,2,2020,"PA",839,"2020-02-18",True
"Boo","Fish",15,7,2016,"NJ",355,"2016-07-15",False
"Chae","Dates",11,3,2016,"CT",577,"2016-03-11",True
"Wally","Fish",10,4,2020,"PA",545,"2020-04-10",False
"Sam","Ham",19,10,2016,"CT",808,"2016-10-19",False
"Helen","Butter",17,3,2020,"CT",481,"2020-03-17",False
"Mia","Ham",11,2,2016,"PA",573,"2016-02-11",False
"Dan","Dates",25,11,2019,"CT",825,"2019-11-25",False
"Chae","Apple",18,4,2018,"NY",220,"2018-04-18",False
"Wally","Butter",18,8,2017,"NY",483,"2017-08-18",False
"Sam","Cherry",12,5,2018,"NJ",402,"2018-05-12",False
"Emily","Fish",5,7,2016,"CT",185,"2016-07-05",True
"Claire","Cherry",16,11,2020,"NY",723,"2020-11-16",True
"Dan","Eggs",5,10,2019,"CT",475,"2019-10-05",False
"Mia","Ham",1,3,2020,"NY",623,"2020-03-01",True
"Helen","Ham",2,9,2018,"PA",66,"2018-09-02",False
"Sam","Butter",27,1,2017,"PA",754,"2017-01-27",True
"Mia","Dates",19,7,2018,"PA",237,"2018-07-19",False
"Mia","Grapes",8,11,2019,"NJ",393,"2019-11-08",False
"Chae","Apple",3,10,2017,"NJ",249,"2017-10-03",False
"Mia","Ham",31,5,2019,"NJ",396,"2019-05-31",True
"Chae","Fish",29,3,2019,"CT",730,"2019-03-29",False
"Wally","Cherry",20,2,2020,"NJ",52,"2020-02-20",True
"Mia","Eggs",11,10,2017,"NY",153,"2017-10-11",False
"Dan","Jelly",4,7,2019,"NY",996,"2019-07-04",False
"Sam","Apple",5,11,2018,"PA",975,"2018-11-05",False
"Boo","Fish",27,5,2017,"CT",309,"2017-05-27",True
"Boo","Butter",15,1,2017,"NJ",666,"2017-01-15",True
"Chae","Ham",8,5,2020,"NJ",234,"2020-05-08",False
"Claire","Dates",27,10,2016,"NJ",417,"2016-10-27",False
"Mia","Ice",18,11,2019,"NJ",978,"2019-11-18",False
"Helen","Jelly",15,10,2020,"NJ",918,"2020-10-15",True
"Chae","Cherry",16,12,2018,"CT",387,"2018-12-16",False
"Sam","Ice",20,11,2017,"NY",678,"2017-11-20",True
"Claire","Eggs",14,2,2020,"NY",445,"2020-02-14",False
"Dan","Grapes",21,2,2019,"NJ",172,"2019-02-21",True
"Boo","Eggs",16,3,2017,"PA",819,"2017-03-16",True
"Emily","Ice",30,10,2016,"PA",40,"2016-10-30",True
"Helen","Butter",16,5,2019,"CT",265,"2019-05-16",True
"Dan","Jelly",27,6,2020,"NY",856,"2020-06-27",False
"Dan","Fish",19,10,2017,"NY",738,"2017-10-19",False
"Emily","Ham",25,9,2018,"PA",364,"2018-09-25",True
"Dan","Ham",5,11,2020,"NY",613,"2020-11-05",True
"Mia","Ham",1,2,2016,"NY",714,"2016-02-01",True
"Emily","Grapes",18,8,2020,"PA",714,"2020-08-18",False
"Dan","Cherry",28,8,2016,"NJ",845,"2016-08-28",False
"Emily","Butter",22,8,2018,"CT",965,"2018-08-22",True
"Helen","Fish",12,4,2017,"PA",817,"2017-04-12",False
"Chae","Ham",17,9,2019,"CT",465,"2019-09-17",True
"Chae","Ham",16,1,2017,"NJ",9,"2017-01-16",False
"Boo","Cherry",18,6,2016,"NY",276,"2016-06-18",False
"Claire","Apple",8,9,2017,"PA",208,"2017-09-08",False
"Mia","Cherry",5,4,2020,"CT",88,"2020-04-05",False
"Mia","Jelly",5,4,2018,"NY",815,"2018-04-05",True
"Claire","Jelly",22,11,2019,"CT",570,"2019-11-22",False
"Helen","Apple",20,12,2016,"PA",269,"2016-12-20",False
"Emily","Dates",10,7,2018,"CT",178,"2018-07-10",True
"Emily","Cherry",11,5,2016,"NJ",708,"2016-05-11",True
"Sam","Eggs",15,7,2020,"NY",766,"2020-07-15",False
"Wally","Apple",3,2,2018,"CT",293,"2018-02-03",True
"Helen","Cherry",14,2,2019,"NY",348,"2019-02-14",False
"Wally","Dates",23,4,2020,"NJ",771,"2020-04-23",False
"Dan","Apple",29,8,2016,"CT",363,"2016-08-29",False
"Boo","Grapes",7,10,2016,"NJ",283,"2016-10-07",True
"Claire","Butter",12,12,2017,"PA",665,"2017-12-12",True
"Sam","Dates",31,12,2020,"NY",988,"2020-12-31",False
"Mia","Jelly",13,9,2019,"CT",566,"2019-09-13",False
"Dan","Eggs",24,8,2020,"NJ",786,"2020-08-24",True
"Mia","Apple",9,3,2016,"CT",923,"2016-03-09",True
"Chae","Fish",23,4,2020,"CT",112,"2020-04-23",False
"Dan","Apple",17,3,2017,"PA",44,"2017-03-17",True
"Wally","Grapes",13,1,2020,"NJ",300,"2020-01-13",False
"Boo","Eggs",28,1,2018,"CT",161,"2018-01-28",True
"Claire","Dates",2,1,2018,"CT",767,"2018-01-02",True
"Chae","Fish",19,12,2019,"CT",967,"2019-12-19",False
"Chae","Apple",4,11,2020,"CT",189,"2020-11-04",False
"Sam","Ham",7,2,2017,"NJ",449,"2017-02-07",True
"Mia","Jelly",28,11,2019,"CT",536,"2019-11-28",False
"Mia","Ice",12,4,2017,"CT",538,"2017-04-12",False
"Helen","Cherry",27,11,2018,"NJ",821,"2018-11-27",False
"Dan","Dates",22,6,2019,"CT",230,"2019-06-22",False
"Wally","Fish",18,12,2019,"NJ",819,"2019-12-18",False
"Helen","Butter",2,3,2016,"NY",108,"2016-03-02",False
"Emily","Jelly",17,11,2018,"NJ",209,"2018-11-17",True
"Dan","Apple",14,4,2019,"NJ",78,"2019-04-14",False
"Wally","Cherry",10,7,2018,"NJ",114,"2018-07-10",True
"Mia","Dates",16,5,2017,"NY",34,"2017-05-16",False
"Claire","Dates",6,6,2016,"NY",466,"2016-06-06",True
"Chae","Eggs",14,6,2020,"NJ",307,"2020-06-14",True
"Helen","Cherry",11,2,2020,"NJ",76,"2020-02-11",True
"Dan","Dates",6,8,2020,"NY",785,"2020-08-06",True
"Dan","Dates",10,4,2019,"NJ",217,"2019-04-10",True
"Helen","Eggs",30,11,2020,"NY",84,"2020-11-30",False
"Mia","Dates",1,1,2016,"PA",865,"2016-01-01",False
"Wally","Apple",23,7,2020,"NY",525,"2020-07-23",False
"Sam","Eggs",8,3,2017,"NY",799,"2017-03-08",False
"Boo","Butter",21,12,2017,"PA",560,"2017-12-21",True
"Helen","Dates",7,1,2019,"NY",67,"2019-01-07",False
"Helen","Jelly",5,12,2017,"NY",427,"2017-12-05",True
"Chae","Fish",23,11,2019,"PA",844,"2019-11-23",False
"Mia","Jelly",13,9,2016,"NJ",554,"2016-09-13",True
"Mia","Eggs",1,12,2016,"NJ",398,"2016-12-01",False
"Dan","Grapes",22,2,2016,"PA",595,"2016-02-22",True
"Claire","Ham",3,1,2019,"CT",635,"2019-01-03",False
"Sam","Cherry",22,10,2017,"NJ",492,"2017-10-22",False
"Helen","Fish",25,3,2017,"NJ",123,"2017-03-25",False
"Boo","Ham",1,10,2019,"NJ",876,"2019-10-01",False
"Claire","Fish",13,8,2019,"NY",730,"2019-08-13",False
"Boo","Ice",29,9,2016,"CT",245,"2016-09-29",True
"Boo","Butter",6,7,2018,"CT",291,"2018-07-06",True
"Chae","Dates",18,11,2019,"NJ",345,"2019-11-18",False
"Sam","Apple",8,2,2016,"CT",173,"2016-02-08",True
"Sam","Fish",26,4,2016,"NY",863,"2016-04-26",False
"Sam","Ice",25,6,2017,"NY",341,"2017-06-25",True
"Dan","Dates",22,9,2018,"PA",203,"2018-09-22",True
"Sam","Dates",10,4,2019,"PA",262,"2019-04-10",True
"Chae","Butter",15,7,2018,"CT",317,"2018-07-15",False
"Chae","Ham",14,3,2017,"CT",486,"2017-03-14",True
"Wally","Dates",15,9,2016,"NJ",643,"2016-09-15",False
"Chae","Cherry",30,6,2016,"CT",110,"2016-06-30",False
"Chae","Ice",11,11,2020,"NJ",816,"2020-11-11",False
"Helen","Eggs",6,9,2019,"NY",862,"2019-09-06",True
"Dan","Eggs",26,6,2020,"NJ",709,"2020-06-26",False
"Helen","Ham",3,4,2018,"PA",887,"2018-04-03",True
"Dan","Ham",19,9,2018,"CT",593,"2018-09-19",True
"Emily","Jelly",12,2,2018,"NJ",154,"2018-02-12",True
"Sam","Butter",29,12,2020,"PA",911,"2020-12-29",True
"Wally","Ham",20,10,2016,"NY",783,"2016-10-20",True
"Sam","Eggs",7,1,2016,"NY",792,"2016-01-07",False
"Boo","Grapes",2,8,2020,"CT",68,"2020-08-02",True
"Boo","Apple",24,12,2017,"NY",413,"2017-12-24",True
"Sam","Fish",13,9,2018,"NY",927,"2018-09-13",True
"Chae","Fish",29,3,2016,"NJ",145,"2016-03-29",False
"Dan","Ice",12,10,2019,"PA",133,"2019-10-12",False
"Chae","Apple",18,9,2017,"NY",382,"2017-09-18",True
"Wally","Apple",28,3,2020,"NY",809,"2020-03-28",True
"Claire","Grapes",4,5,2017,"PA",206,"2017-05-04",True
"Dan","Dates",7,7,2017,"CT",572,"2017-07-07",True
"Boo","Butter",21,9,2019,"NY",148,"2019-09-21",False
"Claire","Apple",9,8,2018,"PA",414,"2018-08-09",True
"Dan","Cherry",25,3,2018,"NJ",141,"2018-03-25",False
"Dan","Butter",19,4,2020,"NY",894,"2020-04-19",False
"Chae","Apple",3,11,2017,"PA",413,"2017-11-03",False
"Chae","Butter",18,12,2018,"NJ",789,"2018-12-18",False
"Helen","Apple",27,8,2020,"NJ",880,"2020-08-27",False
"Helen","Apple",14,9,2018,"NY",478,"2018-09-14",False
"Mia","Apple",6,1,2020,"CT",381,"2020-01-06",False
"Wally","Fish",10,5,2020,"PA",188,"2020-05-10",True
"Emily","Eggs",12,1,2020,"NY",187,"2020-01-12",False
"Helen","Fish",9,8,2016,"NJ",786,"2016-08-09",False
"Claire","Jelly",7,7,2019,"NY",320,"2019-07-07",True
"Claire","Jelly",19,3,2020,"NJ",230,"2020-03-19",False
"Wally","Cherry",19,5,2016,"NJ",831,"2016-05-19",False
"Claire","Jelly",9,11,2016,"NJ",597,"2016-11-09",False
"Mia","Apple",14,4,2016,"NY",295,"2016-04-14",False
"Emily","Dates",25,10,2017,"NY",445,"2017-10-25",False
"Mia","Cherry",21,4,2016,"NY",558,"2016-04-21",False
"Wally","Eggs",28,2,2017,"CT",140,"2017-02-28",True
"Helen","Cherry",21,7,2019,"PA",49,"2019-07-21",False
"Chae","Fish",23,6,2016,"NY",491,"2016-06-23",False
"Mia","Grapes",30,9,2020,"NY",765,"2020-09-30",True
"Claire","Eggs",25,9,2016,"CT",454,"2016-09-25",False
"Emily","Fish",25,8,2017,"PA",477,"2017-08-25",False
"Dan","Jelly",28,8,2019,"PA",540,"2019-08-28",False
"Wally","Dates",20,4,2018,"PA",812,"2018-04-20",True
"Boo","Ham",19,6,2016,"NJ",853,"2016-06-19",False
"Helen","Ice",23,2,2016,"NY",5,"2016-02-23",False
"Mia","Ice",23,12,2019,"NY",418,"2019-12-23",False
"Helen","Dates",18,1,2017,"CT",447,"2017-01-18",False
"Helen","Dates",19,11,2020,"CT",342,"2020-11-19",True
"Sam","Cherry",11,2,2018,"PA",941,"2018-02-11",False
"Wally","Grapes",8,10,2017,"CT",557,"2017-10-08",False
"Helen","Dates",31,7,2017,"NJ",503,"2017-07-31",False
"Wally","Apple",30,10,2017,"CT",383,"2017-10-30",True
"Boo","Cherry",2,11,2019,"NY",93,"2019-11-02",True
"Sam","Ham",10,5,2017,"PA",123,"2017-05-10",True
"Emily","Ice",19,6,2018,"NY",143,"2018-06-19",False
"Boo","Jelly",2,10,2018,"NJ",592,"2018-10-02",False
"Dan","Butter",8,3,2017,"PA",785,"2017-03-08",True
"Chae","Cherry",20,1,2017,"NY",418,"2017-01-20",False
"Helen","Butter",8,8,2020,"NY",711,"2020-08-08",False
"Mia","Ice",16,6,2016,"NY",692,"2016-06-16",True
"Helen","Grapes",27,7,2019,"PA",36,"2019-07-27",False
"Helen","Eggs",4,9,2019,"NJ",999,"2019-09-04",True
"Dan","Eggs",9,4,2017,"NJ",279,"2017-04-09",True
"Claire","Ham",16,4,2017,"NY",169,"2017-04-16",True
"Mia","Cherry",29,1,2016,"NJ",813,"2016-01-29",True
"Dan","Grapes",30,11,2020,"PA",124,"2020-11-30",True
"Boo","Jelly",30,6,2020,"NJ",919,"2020-06-30",False
"Emily","Ice",26,4,2018,"CT",391,"2018-04-26",True
"Boo","Apple",7,10,2020,"PA",185,"2020-10-07",False
"Helen","Ham",9,9,2016,"NY",887,"2016-09-09",True
"Boo","Ham",30,7,2017,"CT",69,"2017-07-30",False
"Claire","Ice",19,5,2019,"NY",622,"2019-05-19",True
